,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,124.45158386230469,125.62030029296875,108.48574829101562,50.388144375653994,41.4859653415463,53.374898325467804,544.2140691530897,0.8629377628339534,0.09732084286442927,13.205401032245376
0,99.80081176757812,106.2415771484375,95.63638305664062,53.17803157840579,46.293920721879005,56.70723655959894,1024.8993460598076,0.7809891059842305,0.10073949912837872,13.721205855459313
0,128.8546905517578,133.11647033691406,125.49459838867188,51.77734230864006,43.45586778321721,56.00306530980317,668.6216996167335,0.8460562803940554,0.09873278158258438,13.512515806180476
0,118.15559387207031,129.54920959472656,96.84883117675781,51.55227502922229,47.67239277361154,56.63773556348577,1826.9444409151506,0.5906437443893455,0.03987258839034047,14.459833225084697
0,94.49775695800781,103.16513061523438,79.1884765625,58.57679958863311,51.21335791090809,59.37479439950783,792.2715954951215,0.860727120304776,0.11431551798458274,13.517625082457753
0,110.7095947265625,120.17103576660156,93.42906188964844,47.78939217161721,30.17571471981242,48.72749665421818,359.49822882124636,0.8660265242034983,0.09035769433071886,12.816389110123376
0,104.08660888671875,111.64801025390625,90.5179443359375,58.89168633275486,56.248688176507905,58.66571321691107,728.9590013456358,0.8857231136910038,0.15439072854416017,13.090009454462228
0,135.24072265625,131.89537048339844,94.35928344726562,44.03380921928718,37.31192329109901,53.75035688584489,467.7913786314155,0.8475123612396888,0.11572412441959948,12.797441700752675
0,101.13471984863281,108.50167846679688,88.00978088378906,59.17114077600062,50.67031118332678,61.01209686032986,783.5343992695111,0.8630513986373072,0.10425393155890114,13.554903264858357
0,115.88917541503906,124.02845764160156,105.47232055664062,61.01006897932147,46.58849125255079,62.22847559999205,612.8593298551032,0.8867383464223442,0.09730594038275925,13.290812912711655
0,147.5593719482422,155.86572265625,133.58045959472656,53.430599795463756,36.24477172177133,55.23279862835146,536.4571307910414,0.854063576893916,0.07379831284952593,13.18785867187346
0,112.72525024414062,111.6585693359375,88.13838195800781,57.86476692127002,46.82960727711253,52.5936623840542,840.815165906742,0.8329550653436436,0.07413526867120104,13.833883322454415
0,118.54351806640625,120.56675720214844,102.51461791992188,53.82170083196437,43.525104502376074,54.41656014267835,417.0777194468471,0.9057415395161231,0.12346528226202715,12.861741254271424
0,131.5296173095703,135.39390563964844,95.40812683105469,43.88036285625957,37.311436383531614,54.21350766483141,404.50496376093304,0.8666819449046633,0.11921216020870058,12.78432698208017
0,134.4261932373047,138.3070068359375,100.98670959472656,38.97474654798603,36.22867752109767,64.17318675043299,112.74021121683964,0.9582146404893436,0.30549438806618734,11.129659139333931
0,100.08534240722656,99.32481384277344,75.21139526367188,63.73546715093522,58.374294325781555,59.80901679122247,807.6058968305454,0.885359271853559,0.13179541055216593,13.39864645141094
0,125.87396240234375,137.11410522460938,114.38722229003906,44.66092121816597,41.081716602183164,46.31385156056105,805.195682384779,0.7489026755282501,0.06475755901903921,13.603044175259683
0,122.1739501953125,130.11854553222656,104.3846435546875,50.938494371730776,42.95883976976119,66.76434468129344,540.2596463649795,0.8705740107501139,0.12988461537663126,13.244240856337932
0,106.58442687988281,114.63673400878906,93.54518127441406,56.72047938593187,50.171986726190426,60.1004974774032,714.8293950643977,0.8699395161270105,0.09719249238522958,13.688498256917
0,132.0066375732422,126.56437683105469,105.03459167480469,59.79514769609893,51.406370273497124,58.35806042757232,721.5030552251532,0.8770417142534568,0.07839793804632422,13.623247666845423
0,112.69197082519531,118.8424072265625,110.94438171386719,49.43570314405172,42.77687385986543,60.90483928819208,395.26038316092354,0.9039301424426814,0.19885842912387008,12.42650568035405
0,101.08149719238281,106.77980041503906,85.80630493164062,57.734973848210345,55.34493102970517,57.67355151394972,881.4046085790313,0.8562202341501911,0.14202753811323116,13.285714060547974
0,108.02836608886719,107.00877380371094,82.30210876464844,61.30601142262907,53.745461057425594,57.20116324523304,754.8884194630666,0.8781476308870736,0.12147731842808177,13.466401012403182
0,111.46664428710938,109.30615234375,80.06028747558594,61.119748889298855,52.89994975260708,58.781153019136624,792.0052875847024,0.870287204804155,0.09243546125704169,13.660273372208547
0,149.64767456054688,152.45742797851562,105.46382141113281,41.81463021056198,28.10446549201277,65.52886492512542,450.37850227376464,0.8106719094308383,0.09112324549980863,12.898651976622507
0,111.50250244140625,114.45011901855469,90.80276489257812,58.48104676433083,46.55361389801886,56.21837605769446,803.5508908082219,0.8428607048358565,0.07998901101355671,13.711478438735565
0,112.46047973632812,105.51237487792969,81.78573608398438,61.18705132356189,54.87678430583478,56.32482156278671,798.2833615226108,0.873785559761536,0.09980148513910067,13.609712910499658
0,109.26495361328125,110.88497924804688,84.72785949707031,56.33160792173123,47.72577583614715,52.5950133906744,876.0233881499897,0.8252344867612409,0.08661143614130976,13.759354209650859
0,118.56507873535156,123.24038696289062,109.72087097167969,54.99913640668243,44.846737933957435,58.23725835486766,812.5443611081068,0.8297989503272751,0.06386826655292326,13.860406637376848
0,133.47999572753906,140.21231079101562,96.85118103027344,51.807306785361085,50.76908687081517,61.2461937254764,414.01704523200186,0.9149649848569078,0.13919293974342772,12.813141687426516
0,108.27056884765625,105.38108825683594,82.146240234375,66.60782071417475,58.33465990119728,61.050072606498134,893.0385453911949,0.8778854226243076,0.10189425092202167,13.725727665643095
0,128.0264129638672,127.82989501953125,80.87533569335938,46.1415706783472,50.22360821960526,50.15949589937093,283.9928556925219,0.9283516845502577,0.17323606745698095,12.600888406797523
0,101.00572204589844,100.67439270019531,86.7923583984375,56.54247380156765,50.467560706077975,55.3385187763092,685.9609205293632,0.8743299851582986,0.11263947836236156,13.188697826613124
0,116.84320068359375,123.715087890625,109.20391845703125,51.40702036998524,41.788817513561305,53.433072281176756,745.8070023698813,0.8187968222333283,0.06765361138474472,13.736091222086138
0,118.36935424804688,118.24313354492188,90.60250854492188,59.09581404461487,51.83229397844181,57.28552734222776,802.8067671989131,0.8617095651377348,0.08777071356482229,13.674608418502775
0,112.34776306152344,121.7188720703125,100.10836791992188,54.63384074123997,47.81175265242349,58.31357028004752,882.0149172643928,0.8230997099288804,0.08704919312359542,13.8294141026275
0,116.52632141113281,128.32408142089844,99.59242248535156,53.702490613576614,37.00779185028466,55.95349399773802,556.8149472858992,0.8507883401009648,0.08251413492890522,13.24745104031414
0,111.35398864746094,110.80235290527344,82.38658142089844,73.24422047359464,62.87304864995042,70.39439511959215,682.7927413584914,0.9221811517880044,0.12932465085961503,13.192705941407052
0,109.41844177246094,121.49447631835938,101.47021484375,63.23672672620384,57.18486055219254,70.29140068185527,577.5638212165991,0.9186246390057844,0.18578972758092321,13.089297997974262
0,131.94398498535156,138.2717742919922,101.67031860351562,53.390436856183435,54.32942684698872,64.41031804134006,400.3616352034072,0.9284762961532055,0.18824458347809656,12.429974435254312
0,95.585693359375,120.83596801757812,82.90229797363281,26.45391891266041,22.489530257306168,38.08577271877918,52.47929728049307,0.9455159303448325,0.3392773228602239,10.398255273601155
0,123.81759643554688,139.17474365234375,107.67425537109375,54.77308865363012,48.98370445920348,70.08054970761505,234.5145851805795,0.954057493306963,0.15964129263931787,12.752899996339824
